vi_wseg,labels
"Do_vậy , huyện Vĩnh_Thạnh luôn tập_trung lãnh_đạo , chỉ_đạo việc triển_khai thực_hiện các chính_sách , chương_trình , dự_án về giảm nghèo được thực_hiện đồng_bộ từ huyện tới cơ_sở",Social
"Điều 2 . Ban An_toàn giao_thông tỉnh chịu trách_nhiệm quản_lý , sử_dụng kinh_phí được cấp theo đúng quy_định hiện_hành .",Politics
"Hiện_nay , Yôl thường thả mèo ở bãi có gần hồ , rồi đi lấy củi .",Usual
"Hôm kỉa , tớ sẽ đi học ở dưới huyện .",Usual
Hôm_qua chị_gái đan được tám cái .,Usual
"Theo_dõi , đôn_đốc và tổng_hợp tình_hình triển_khai thực_hiện kế_hoạch này ; đề_xuất sửa_đổi , bổ_sung cho phù_hợp tình_hình thực_tế trình UBND tỉnh xem_xét , quyết_định .",Politics
"Trung_tâm Phát_triển nông_thôn miền Trung thuộc Trường Đại_học Nông - Lâm_Huế đã tổ_chức lớp tập_huấn cho nhóm trưởng và các thành_viên nhóm "" Cùng sở_thích "" trồng rau_an_toàn xã Vĩnh_Sơn .",Social
Đồng_chí Lê_Văn_Sơn được bầu vào chức_danh Bí_thư Đảng_uỷ xã Vĩnh_Hiệp nhiệm_kỳ 2020-2025,Politics
"Khối các trường mầm_non huyện , thành_phố",Social
"Di_dời các nhà_máy chế_biến thuỷ_sản ở nội_thành Quy_Nhơn vào các khu , cụm công_nghiệp , khu chế_biến tập_trung",Social
"Thỉnh_thoảng Yôl đi bẫy thú cùng ông . Ông bẫy rất giỏi . Có lần , ông bẫy được con lợn_rừng to bằng con bê . Ông bảo : Ngày_xưa , có nhiều thú hơn , bẫy dễ được chim thú . Ngày_nay bẫy khó hơn vì chim thú đã hết .",Usual
"Chấm_dứt bạo_lực , vun_đắp yêu_thương",Social
Ở giai_đoạn này cây cần được bón phân nhiều đợt ( 3-4 đợt / năm ) với liều_lượng ít vào lúc cây đã hoàn_thành đợt lá trước và chuẩn_bị phát đợt lá tiếp_theo .,Science
"Cùng với đó , huyện đã huy_động lực_lượng giúp nhân_dân khôi_phục nhà_cửa bị hư_hỏng để có nơi ở tạm_thời , ổn_định trước",Social
Người bán hàng đon_đả hỏi ông :,Usual
Nhờ tích_cực thực_hiện các biện_pháp trên nên công_tác DS-KHHGĐ hàng năm của xã luôn đạt kết_quả đáng khích_lệ .,Social
Tỷ_lệ % để lại cho đơn_vị thu,Social
Các dự_án đầu_tư xây_dựng nhà ở phải được tổ_chức tư_vấn độc_lập với chủ đầu_tư và nhà_thầu thi_công xây_dựng có đủ điều_kiện năng_lực,Politics
"Nhà Yôl có một khu vườn rất đẹp . Bố Yôl kể rằng : Bố_mẹ trồng những cây_ăn_quả đầu_tiên ở khu vườn này cách đây hơn hai_mươi năm . Hồi đó_đây là khu đất màu_mỡ . Bây_giờ , trong vườn trồng đủ loại : quế , mít , xoài , ẩu đủ , chuối và cả bầu , bí nữa .",Usual
"Thời_gian , địa_điểm : 20h00 ngày 11/8/2019 tại Quảng_trường Nguyễn_Tất_Thành , thành_phố Quy_Nhơn .",Politics
Chi_cục Khai_thác và Bảo_vệ nguồn lợi Thuỷ_sản xem_xét và tổng_hợp danh_sách báo_cáo Sở Nông_nghiệp và PTNT trình UBND tỉnh,Politics
Thỉnh_thoảng thôi . Bây_giờ chim càng_ngày_càng ít . Có đi cũng chẳng được .,Usual
Từ 20h00 : Tiến_hành phần Lễ ( Bắt_đầu truyền_hình trực_tiếp trên Đài_Truyền_hình Việt_Nam và Đài_Phát_thanh và Truyền_hình Bình_Định ),Politics
2 ngày cô cho gà ăn hai lần .,Usual
"Kế_hoạch Tháng hành_động năm 2017 với chủ_đề "" Chung tay chấm_dứt bạo_lực đối_với phụ_nữ và trẻ_em gái """,Social
Theo đề_nghị của Giám_đốc Sở Nông_nghiệp và Phát_triển nông_thôn tại Tờ_trình số 113 / TTr-SNN ngày 14 tháng 4 năm 2020,Politics
"Chọn cây phải đạt ít_nhất 6 tháng tuổi , khoẻ_mạnh , không nhiễm sâu_bệnh , nhặt mắt , không bị khô , không trầy_xước để làm hom giống .",Science
Buổi tối mới đan được ba cái .,Usual
Xâm_hại tình_dục phụ_nữ và trẻ_em là tội nghiêm_trọng,Social
"Chủ_trì hướng_dẫn chi ngân_sách nguồn vốn sự_nghiệp , phối_hợp với Bộ Nông_nghiệp và Phát_triển nông_thôn hướng_dẫn triển_khai thực_hiện Chương_trình .",Politics
"Điều 3 . Chánh Văn_phòng UBND tỉnh , Giám_đốc Sở Văn_hoá , Thể_thao , Trưởng ban Ban Dân_tộc tỉnh",Politics
"Chúng_tôi vừa được học lý_thuyết , vừa được thực_hành trên mô_hình trồng rau_an_toàn theo Dự_án rau_an_toàn do Đại_sứ_quán New_Dilan triển_khai tại địa_phương",Social
"Ở ngoài sân , chị Yôl đang nói_chuyện với 5 người lạ .",Usual
"Các cơ_quan trong tỉnh và Uỷ_ban_nhân_dân các huyện , thị_xã , thành_phố",Politics
"Phát_huy những kết_quả tích_cực đó , trong nhiệm_kỳ 2020-2025 này , Đảng_bộ xã Vĩnh_Thuận đã đề ra nhiều giải_pháp phát_triển kinh_tế , xã_hội cụ_thể sát với tình_hình và điều_kiện thực_tế ở địa_phương , nhằm góp_phần nâng cao thu_nhập và đời_sống cho người dân",Social
Bác_sĩ hỏi mẹ Yôl :,Usual
"Mùa phát rẫy đã đến , hôm_nay bác Ba đi xuống chợ mua thêm một cái kéo .",Usual
"( iii ) các huyện , thị_xã đồng_bằng : Ngân_sách tỉnh 50% , ngân_sách huyện , thị_xã 50% ; ( iv ) thành_phố Quy_Nhơn : Ngân_sách thành_phố 100% .",Politics
"Xế trưa , tôi đang đi học lớp 10 ở trường làng .",Usual
"Các cơ_quan được phân_công , phân_cấp theo quy_định tại Điều 1 của Quyết_định này có trách_nhiệm thanh_tra , kiểm_tra giám_sát tại các cơ_sở sản_xuất , kinh_doanh vật_tư nông_nghiệp , nước sinh_hoạt nông_thôn và sản_phẩm nông_lâm thuỷ_sản trên địa_bàn quản_lý",Politics
